fecha,promedio_mensual
2017-12-01,1.3315235294117647
2018-01-01,1.5152588235294118
2018-02-01,1.5390411764705882
2018-03-01,1.5806
2018-04-01,2.0588235294117645
2018-05-01,2.1476470588235292
2018-06-01,2.237352941176471
2018-07-01,2.3753529411764704
2018-08-01,2.533529411764706
2018-09-01,2.7070588235294117
2018-10-01,2.7036470588235297
2018-11-01,2.6709411764705884
2018-12-01,2.380352941176471
2019-01-01,2.4204117647058823
2019-02-01,2.4124117647058827
2019-03-01,2.434705882352941
2019-04-01,2.4301764705882354
2019-05-01,2.4526470588235294
2019-06-01,2.457294117647059
2019-07-01,2.4595294117647057
2019-08-01,2.4503529411764706
2019-09-01,2.425529411764706
2019-10-01,2.401411764705882
2019-11-01,2.400235294117647
2019-12-01,2.399529411764706
2020-01-01,2.438529411764706
2020-02-01,2.4299411764705883
2020-03-01,2.4371764705882355
2020-04-01,2.444470588235294
2020-05-01,2.4321176470588237
2020-06-01,2.4215294117647055
2020-07-01,2.3948823529411767
2020-08-01,2.3783529411764706
2020-09-01,2.3478823529411765
2020-10-01,2.3483529411764703
2020-11-01,2.347235294117647
2020-12-01,2.347235294117647
2021-01-01,2.423764705882353
2021-02-01,2.4308823529411767
2021-03-01,2.4333529411764703
2021-04-01,2.472941176470588
2021-05-01,2.4785882352941173
2021-06-01,2.521
2021-07-01,2.507647058823529
2021-08-01,2.5051176470588237
2021-09-01,2.479
2021-10-01,2.476235294117647
2021-11-01,2.4865882352941178
2021-12-01,2.5008823529411766
2022-01-01,2.593
2022-02-01,2.602705882352941
2022-03-01,2.602764705882353
2022-04-01,2.6373529411764705
2022-05-01,2.6641176470588235
2022-06-01,2.626352941176471
2022-07-01,2.6601764705882354
2022-08-01,2.6669411764705884
2022-09-01,2.6737058823529414
2022-10-01,2.678705882352941
2022-11-01,2.6817647058823533
2022-12-01,2.6817647058823533
2023-01-01,2.6155882352941173
2023-02-01,2.627411764705882
2023-03-01,2.6502352941176466
2023-04-01,2.6682941176470587
2023-05-01,2.7002352941176473
2023-06-01,2.722470588235294
2023-07-01,2.7414117647058824
2023-08-01,2.7278823529411764
2023-09-01,2.7147058823529413
2023-10-01,2.7165882352941177
2023-11-01,2.698529411764706
2023-12-01,2.6884117647058825
2024-01-01,2.699882352941177
2024-02-01,2.707529411764706
2024-03-01,2.7243529411764706
2024-04-01,2.7243529411764706
2024-05-01,2.7243529411764706
2024-06-01,2.7243529411764706
2024-07-01,2.7619411764705886
2024-08-01,2.773823529411765
2024-09-01,2.773941176470588
2024-10-01,2.774
2024-11-01,2.773941176470588
2024-12-01,2.7508823529411766
2025-01-01,2.776235294117647
2025-02-01,2.7784705882352942
2025-03-01,2.778764705882353
2025-04-01,2.778764705882353
2025-05-01,2.778764705882353
2025-06-01,2.780058823529412
2025-07-01,2.832941176470588
2025-08-01,2.835
2025-09-01,2.825941176470588
