fecha,prediccion,lower_ci,upper_ci
2025-10-01,2.830838357250082,2.7864954568372755,2.8751812576628883
2025-11-01,2.8363286184565624,2.773554210994277,2.8991030259188477
2025-12-01,2.8374733608784384,2.7605121165705757,2.914434605186301
2026-01-01,2.8461087930201137,2.757150676410416,2.9350669096298114
2026-02-01,2.8512774130136194,2.7517173831952353,2.9508374428320034
2026-03-01,2.855892109525788,2.746717820014686,2.96506639903689
2026-04-01,2.860940621618096,2.742898011556885,2.978983231679307
2026-05-01,2.8660795804439227,2.7397572546483637,2.9924019062394818
2026-06-01,2.8714746859751292,2.7373520711854478,3.0055973007648107
2026-07-01,2.8847566383652987,2.743233746105876,3.0262795306247217
2026-08-01,2.8896808915560066,2.7410978384454827,3.0382639446665305
2026-09-01,2.8930102907841535,2.7376607049387274,3.0483598766295796
